word,year_quarter,n,total,tf,idf,tf_idf
врач_noun,2017_Q_1,576,36444,0.025448440399399135,0.5520685823000399,0.01404928441304334
ребенок_noun,2017_Q_1,475,36444,0.020986127065476718,0.6061358035703155,0.012720442992661478
больница_noun,2017_Q_1,416,36444,0.01837942917734382,0.5520685823000399,0.01014670540942019
год_noun,2017_Q_1,416,36444,0.01837942917734382,0.4519851237430572,0.008307228571048502
медицинский_adj,2017_Q_1,321,36444,0.014182203764248476,0.5520685823000399,0.007829549126018945
здравоохранение_noun,2017_Q_1,264,36444,0.011663868516391269,0.5520685823000399,0.006439255355978197
грипп_noun,2017_Q_1,114,36444,0.005036670495714412,1.1939224684724346,0.0060133940711256315
операция_noun,2017_Q_1,245,36444,0.010824423433772202,0.5520685823000399,0.005975824099297949
девочка_noun,2017_Q_1,172,36444,0.007599187063709463,0.723918839226699,0.005501194678227101
помощь_noun,2017_Q_1,193,36444,0.008526994786604224,0.6061358035703155,0.005168516837018242
январь_noun,2017_Q_1,110,36444,0.004859945215163029,1.0116009116784799,0.004916325010366386
состояние_noun,2017_Q_1,179,36444,0.007908456304674384,0.5520685823000399,0.0043660102603033995
время_noun,2017_Q_1,152,36444,0.006715560660952549,0.6061358035703155,0.004070541757651673
главный_adj,2017_Q_1,147,36444,0.00649465406026332,0.6061358035703155,0.00393664235772892
совещание_noun,2017_Q_1,37,36444,0.0016347088451002915,2.3978952727983707,0.003919860612067673
врач_noun,2017_Q_2,441,29335,0.026023840434320784,0.5520685823000399,0.014366944694577928
ребенок_noun,2017_Q_2,364,29335,0.02147999527912192,0.6061358035703155,0.013019794199197148
операция_noun,2017_Q_2,336,29335,0.01982768794995869,0.5520685823000399,0.010946243576821278
больница_noun,2017_Q_2,273,29335,0.016109996459341438,0.5520685823000399,0.00889382290616729
год_noun,2017_Q_2,285,29335,0.01681812817183996,0.4519851237430572,0.007601543742875681
помощь_noun,2017_Q_2,172,29335,0.010149887879145522,0.6061358035703155,0.006152210445774476
медицинский_adj,2017_Q_2,183,29335,0.010799008615602502,0.5520685823000399,0.005961793376661589
девочка_noun,2017_Q_2,133,29335,0.007848459813525315,0.723918839226699,0.0056816479179246406
состояние_noun,2017_Q_2,169,29335,0.00997285495102089,0.5520685823000399,0.005505699894294037
сердце_noun,2017_Q_2,123,29335,0.007258350053109879,0.6632942174102642,0.004814421618167267
отделение_noun,2017_Q_2,130,29335,0.0076714268854006845,0.6061358035703155,0.004649926499713267
человек_noun,2017_Q_2,170,29335,0.010031865927062433,0.4519851237430572,0.004534254162417073
женщина_noun,2017_Q_2,137,29335,0.008084503717691491,0.5520685823000399,0.004463200506025343
центр_noun,2017_Q_2,133,29335,0.007848459813525315,0.5520685823000399,0.004332888082491756
орган_noun,2017_Q_2,131,29335,0.007730437861442228,0.5520685823000399,0.004267731870724963
ребенок_noun,2017_Q_3,448,35374,0.020560833448070127,0.6061358035703155,0.012462657304121407
врач_noun,2017_Q_3,483,35374,0.022167148561200604,0.5520685823000399,0.012237786279816386
больница_noun,2017_Q_3,313,35374,0.01436504658313828,0.5520685823000399,0.007930490901827182
девочка_noun,2017_Q_3,225,35374,0.010326311441553077,0.723918839226699,0.007475411392262484
год_noun,2017_Q_3,359,35374,0.016476203588966908,0.4519851237430572,0.007446998917975012
операция_noun,2017_Q_3,267,35374,0.012253889577309652,0.5520685823000399,0.006764987446606574
помощь_noun,2017_Q_3,243,35374,0.011152416356877323,0.6061358035703155,0.006759878850226567
медицинский_adj,2017_Q_3,238,35374,0.010922942769287255,0.5520685823000399,0.006030213529184886
состояние_noun,2017_Q_3,226,35374,0.010372206159071092,0.5520685823000399,0.005726169149562119
здравоохранение_noun,2017_Q_3,191,35374,0.008765891045940612,0.5520685823000399,0.0048393730423290475
центр_noun,2017_Q_3,182,35374,0.00835283858827849,0.5520685823000399,0.004611339757611972
переливание_noun,2017_Q_3,51,35374,0.0023406305934186977,1.8870696490323797,0.004416932952437072
область_noun,2017_Q_3,164,35374,0.0075267336729542425,0.5520685823000399,0.004155273188177821
женщина_noun,2017_Q_3,155,35374,0.00711368121529212,0.5520685823000399,0.003927239903460745
лечение_noun,2017_Q_3,168,35374,0.007710312543026298,0.5007752879124892,0.0038611339836292706
врач_noun,2017_Q_4,507,34698,0.024078647416413374,0.5520685823000399,0.013293064742881848
ребенок_noun,2017_Q_4,406,34698,0.01928191489361702,0.6061358035703155,0.011687458978416988
операция_noun,2017_Q_4,317,34698,0.015055091185410334,0.5520685823000399,0.00831144284712731
больница_noun,2017_Q_4,299,34698,0.014200227963525837,0.5520685823000399,0.00783949972016109
состояние_noun,2017_Q_4,273,34698,0.012965425531914893,0.5520685823000399,0.007157804092320995
помощь_noun,2017_Q_4,227,34698,0.010780775075987842,0.6061358035703155,0.00653461376379472
год_noun,2017_Q_4,296,34698,0.01405775075987842,0.4519851237430572,0.006353894216752704
человек_noun,2017_Q_4,256,34698,0.0121580547112462,0.4519851237430572,0.0054952598631374736
октябрь_noun,2017_Q_4,91,34698,0.004321808510638298,1.1939224684724346,0.005159904285286452
медицинский_adj,2017_Q_4,185,34698,0.008786094224924013,0.5520685823000399,0.004850526582708368
центр_noun,2017_Q_4,170,34698,0.00807370820668693,0.5520685823000399,0.0044572406435698505
отделение_noun,2017_Q_4,151,34698,0.007171352583586626,0.6061358035703155,0.004346813560938337
тяжелый_adj,2017_Q_4,129,34698,0.006126519756838906,0.6632942174102642,0.004063685127560984
женщина_noun,2017_Q_4,154,34698,0.007313829787234043,0.5520685823000399,0.0040377356418221004
время_noun,2017_Q_4,140,34698,0.006648936170212766,0.6061358035703155,0.004030158268419651
ребенок_noun,2018_Q_1,490,31146,0.026290374503702113,0.6061358035703155,0.015935537275966014
врач_noun,2018_Q_1,435,31146,0.023339414100225345,0.5520685823000399,0.012884957254024967
больница_noun,2018_Q_1,397,31146,0.021300568730550487,0.5520685823000399,0.011759374781259567
девочка_noun,2018_Q_1,270,31146,0.014486532889795043,0.723918839226699,0.010487074073999824
