word,n,topic,beta
случай_noun,9639,Topic 1,0.02330590066436438
инфекция_noun,3645,Topic 1,0.01568619432641262
год_noun,25677,Topic 1,0.014540306146627054
человек_noun,12725,Topic 1,0.013096189629368841
вирус_noun,2239,Topic 1,0.011720801515263514
область_noun,9646,Topic 1,0.011565417759525189
вакцинация_noun,1995,Topic 1,0.010553329190608019
коронавирус_noun,1834,Topic 1,0.009701707074951799
заболевание_noun,7973,Topic 1,0.009300663957314284
вакцина_noun,1416,Topic 1,0.00749052192918852
страна_noun,5518,Topic 1,0.007264047794096415
зарегистрировать_verb,1811,Topic 1,0.006805018105531614
выявить_verb,2646,Topic 1,0.0062113454747657545
заражение_noun,1083,Topic 1,0.00536387132240536
грипп_noun,971,Topic 1,0.005136509034775459
заболеваемость_noun,1077,Topic 1,0.005126166235787726
число_noun,3215,Topic 1,0.004601929467844265
ребенок_noun,15596,Topic 1,0.004401269395592118
метапневмовирус_noun,806,Topic 1,0.004263672793026798
начало_noun,2009,Topic 1,0.004257470131846519
больница_noun,12134,Topic 2,0.02183994971073051
ребенок_noun,15596,Topic 2,0.01825406753448974
врач_noun,16110,Topic 2,0.013645117638244626
состояние_noun,7762,Topic 2,0.013206495558910247
помощь_noun,12560,Topic 2,0.010934572457082303
область_noun,9646,Topic 2,0.008497153291852983
сообщить_verb,5639,Topic 2,0.007914056278874522
находиться_verb,4643,Topic 2,0.007386843228515243
областной_adj,4225,Topic 2,0.007165372043227532
отделение_noun,4551,Topic 2,0.006477447106098598
управление_noun,4264,Topic 2,0.006187227233703315
детский_adj,4325,Topic 2,0.005892462170105571
медицинский_adj,17878,Topic 2,0.005825339695882545
здравоохранение_noun,10765,Topic 2,0.005745953437556752
пациент_noun,12493,Topic 2,0.005635779689081556
рассказать_verb,5082,Topic 2,0.005508016778524689
провести_verb,5402,Topic 2,0.005253349633424621
реанимация_noun,2322,Topic 2,0.004931570159538178
девочка_noun,3903,Topic 2,0.0048900576864630745
травма_noun,2417,Topic 2,0.004713847888584142
год_noun,25677,Topic 3,0.017809383174859816
врач_noun,16110,Topic 3,0.011848194650472838
человек_noun,12725,Topic 3,0.01084539041748494
ребенок_noun,15596,Topic 3,0.010166015078220028
быть_verb,7681,Topic 3,0.010138398642221012
жизнь_noun,6276,Topic 3,0.00799138723997346
женщина_noun,5949,Topic 3,0.007869210145708473
мочь_verb,10868,Topic 3,0.007579943338395356
говорить_verb,3413,Topic 3,0.007147010692200964
стать_verb,5798,Topic 3,0.0069928173210707266
операция_noun,9796,Topic 3,0.0067411102633219795
время_noun,7122,Topic 3,0.0054309277344179166
день_noun,6805,Topic 3,0.005351453178990452
семья_noun,2353,Topic 3,0.005171494445675136
орган_noun,3399,Topic 3,0.004889272270604712
самый_adj,3747,Topic 3,0.004553844327292882
слово_noun,5306,Topic 3,0.0045462482896120255
девочка_noun,3903,Topic 3,0.004448686406585513
сказать_verb,3356,Topic 3,0.004215290788741112
донор_noun,1492,Topic 3,0.003978734210501488
медицинский_adj,17878,Topic 4,0.02051048284419457
год_noun,25677,Topic 4,0.01999925439633848
здравоохранение_noun,10765,Topic 4,0.012998276807740364
система_noun,5893,Topic 4,0.008702279564482723
услуга_noun,3753,Topic 4,0.007724828842477159
препарат_noun,3600,Topic 4,0.005587849705715285
средство_noun,3044,Topic 4,0.0055555692788992715
лекарство_noun,2836,Topic 4,0.0052577651748774755
помощь_noun,12560,Topic 4,0.004914507089667347
область_noun,9646,Topic 4,0.004788781068460049
работа_noun,5660,Topic 4,0.0046911197620685295
организация_noun,3084,Topic 4,0.004603892224744981
страна_noun,5518,Topic 4,0.0045332480079684715
тенг_noun,2410,Topic 4,0.004484478602609578
миллион_noun,3143,Topic 4,0.0044348266212890855
социальный_adj,2703,Topic 4,0.004344833441592013
вопрос_noun,3242,Topic 4,0.004094462561946479
новый_adj,4800,Topic 4,0.004083083406212765
работник_noun,2328,Topic 4,0.004046854283790229
миллиард_noun,1867,Topic 4,0.0038905144495047814
пациент_noun,12493,Topic 5,0.020232386517873773
центр_noun,8349,Topic 5,0.01631187568439359
медицинский_adj,17878,Topic 5,0.015833674600139843
помощь_noun,12560,Topic 5,0.014155981976769922
операция_noun,9796,Topic 5,0.014136535230640125
год_noun,25677,Topic 5,0.013058048664798974
лечение_noun,8313,Topic 5,0.010995231970735745
заболевание_noun,7973,Topic 5,0.010440888195053313
врач_noun,16110,Topic 5,0.0098693947539961
специалист_noun,5216,Topic 5,0.008094064656851559
ребенок_noun,15596,Topic 5,0.0060491023983910795
провести_verb,5402,Topic 5,0.0054353058186929525
здравоохранение_noun,10765,Topic 5,0.004839617829822686
развитие_noun,2760,Topic 5,0.004726101756491308
жизнь_noun,6276,Topic 5,0.004672286856452012
диагностика_noun,1718,Topic 5,0.0046474241066676285
рак_noun,2140,Topic 5,0.004479742954684011
детский_adj,4325,Topic 5,0.004373035023381996
отделение_noun,4551,Topic 5,0.004355986920841921
новый_adj,4800,Topic 5,0.004331355744605264
мочь_verb,10868,Topic 6,0.01659084186486555
человек_noun,12725,Topic 6,0.01141646674138247
заболевание_noun,7973,Topic 6,0.007216973921593047
организм_noun,2122,Topic 6,0.006214226147675868
продукт_noun,1820,Topic 6,0.005650858570449714
быть_verb,7681,Topic 6,0.0054279667714675645
здоровье_noun,4718,Topic 6,0.004818397181999181
время_noun,7122,Topic 6,0.004049239332535302
можно_verb,2992,Topic 6,0.00403342128917523
врач_noun,16110,Topic 6,0.00367358488430102
день_noun,6805,Topic 6,0.0033162708316841244
питание_noun,1179,Topic 6,0.003296340763712784
другой_adj,4601,Topic 6,0.003194314946912117
болезнь_noun,2900,Topic 6,0.0031634812917796795
вода_noun,1136,Topic 6,0.0031369100647970845
риск_noun,1753,Topic 6,0.0030810140047173944
проблема_noun,2861,Topic 6,0.0030304591542797393
специалист_noun,5216,Topic 6,0.0029829828559532006
исследование_noun,2040,Topic 6,0.00296425096186466
количество_noun,2141,Topic 6,0.002899687126352776
