word,n,topic,beta
год_noun,25677,Topic 1,0.020148594462216552
медицинский_adj,17878,Topic 1,0.015464299246991593
здравоохранение_noun,10765,Topic 1,0.008548614234594626
случай_noun,9639,Topic 1,0.00785606247635617
человек_noun,12725,Topic 1,0.006526254792878555
помощь_noun,12560,Topic 1,0.006227073314031
страна_noun,5518,Topic 1,0.006044981307903748
система_noun,5893,Topic 1,0.005853348365414396
заболевание_noun,7973,Topic 1,0.005726781628919561
область_noun,9646,Topic 1,0.005693066374366631
пациент_noun,12493,Topic 1,0.005665639408209603
новый_adj,4800,Topic 1,0.004698636141394688
лечение_noun,8313,Topic 1,0.004397721888993016
услуга_noun,3753,Topic 1,0.004187714790219235
центр_noun,8349,Topic 1,0.003997957422893224
работа_noun,5660,Topic 1,0.0038329359407321905
инфекция_noun,3645,Topic 1,0.003528553410936784
препарат_noun,3600,Topic 1,0.0034753097546880996
организация_noun,3084,Topic 1,0.00344125685732834
средство_noun,3044,Topic 1,0.003193687244355638
мочь_verb,10868,Topic 2,0.014503689485559128
человек_noun,12725,Topic 2,0.01029739923867894
заболевание_noun,7973,Topic 2,0.006369954193925753
организм_noun,2122,Topic 2,0.005214446466301354
быть_verb,7681,Topic 2,0.005059870182181995
продукт_noun,1820,Topic 2,0.004379450383741164
здоровье_noun,4718,Topic 2,0.003783702915281924
жизнь_noun,6276,Topic 2,0.0037694394320688055
донор_noun,1492,Topic 2,0.0036751833498717868
можно_verb,2992,Topic 2,0.003651861342005947
болезнь_noun,2900,Topic 2,0.0036153304580683766
трансплантация_noun,1289,Topic 2,0.0033321408276632994
время_noun,7122,Topic 2,0.0032771695329904703
проблема_noun,2861,Topic 2,0.0028159354310727434
день_noun,6805,Topic 2,0.00279195314235007
риск_noun,1753,Topic 2,0.0027468598015236573
врач_noun,16110,Topic 2,0.002716181855473711
другой_adj,4601,Topic 2,0.0027109550735049358
самый_adj,3747,Topic 2,0.0026669006342756245
являться_verb,2962,Topic 2,0.0025170161509565276
ребенок_noun,15596,Topic 3,0.015325593983450384
врач_noun,16110,Topic 3,0.014225852514371124
больница_noun,12134,Topic 3,0.013921393333417896
операция_noun,9796,Topic 3,0.011071721675107308
год_noun,25677,Topic 3,0.008307573826405514
состояние_noun,7762,Topic 3,0.008165194962950087
помощь_noun,12560,Topic 3,0.008007498798373359
пациент_noun,12493,Topic 3,0.007472458053865307
женщина_noun,5949,Topic 3,0.005512501732606783
центр_noun,8349,Topic 3,0.005468143097835483
провести_verb,5402,Topic 3,0.005382915364446727
отделение_noun,4551,Topic 3,0.005221387430600298
область_noun,9646,Topic 3,0.005213314879864903
областной_adj,4225,Topic 3,0.00484736583042985
находиться_verb,4643,Topic 3,0.004694584981899092
медицинский_adj,17878,Topic 3,0.004611180892919385
день_noun,6805,Topic 3,0.004605364732810358
лечение_noun,8313,Topic 3,0.004580054655506916
время_noun,7122,Topic 3,0.004573799577585412
сообщить_verb,5639,Topic 3,0.004504873319459121
