word,year_month,n,total,tf,idf,tf_idf
помощь_noun,2017-03,70,10304,0.006793478260869565,0.6546808997321493,0.004447560460136883
врач_noun,2017-04,111,6810,0.01629955947136564,0.5645298027378517,0.009201587093083927
больница_noun,2017-04,75,6810,0.011013215859030838,0.6931471805599453,0.007633779521585301
ребенок_noun,2017-04,91,6810,0.013362701908957416,0.4818380868927384,0.006438658723529984
девочка_noun,2017-04,62,6810,0.009104258443465492,0.6737290947028437,0.006133803799056727
операция_noun,2017-04,116,6810,0.017033773861967694,0.32090772008010127,0.005466269534404074
врач_noun,2017-05,152,9001,0.016887012554160648,0.5645298027378517,0.009533221866031935
ребенок_noun,2017-05,167,9001,0.018553494056215977,0.4818380868927384,0.0089397800812229
больница_noun,2017-05,96,9001,0.010665481613154094,0.6931471805599453,0.007392748509471698
детский_adj,2017-05,60,9001,0.006665926008221309,0.7331525151736445,0.004887140418888865
областной_adj,2017-05,50,9001,0.005554938340184424,0.7331525151736445,0.004072617015740721
врач_noun,2017-06,178,13524,0.013161786453711919,0.5645298027378517,0.007430220710391718
больница_noun,2017-06,102,13524,0.0075421472937000885,0.6931471805599453,0.005227818131996038
дана_noun,2017-06,14,13524,0.0010351966873706005,4.624972813284271,0.004787756535490964
орган_noun,2017-06,85,13524,0.006285122744750074,0.6737290947028437,0.004234470056916719
медицинский_adj,2017-06,89,13524,0.006580893226855959,0.6176396280518002,0.004064620444883925
больница_noun,2017-07,138,12300,0.01121951219512195,0.6931471805599453,0.007776773245306703
врач_noun,2017-07,155,12300,0.012601626016260163,0.5645298027378517,0.00711399344913553
ребенок_noun,2017-07,157,12300,0.012764227642276423,0.4818380868927384,0.00615029102781788
переливание_noun,2017-07,48,12300,0.003902439024390244,1.292768303109067,0.005044949475547579
девочка_noun,2017-07,91,12300,0.007398373983739838,0.6737290947028437,0.0049844998063381125
врач_noun,2017-08,168,9177,0.018306636155606407,0.5645298027378517,0.01033464169771811
ребенок_noun,2017-08,132,9177,0.014383785550833606,0.4818380868927384,0.006930655712089078
самолет_noun,2017-08,46,9177,0.005012531328320802,1.329135947279942,0.006662335575338055
авиакатастрофа_noun,2017-08,20,9177,0.0021793614470960007,2.6790626642289577,0.005838645884774889
