word,n,topic,beta
вакциный_noun,294,Topic 3,0.00553977626868516
жағдайа_noun,290,Topic 3,0.005464405162988894
вакцина_noun,1416,Topic 3,0.005443273143302687
науқас_noun,285,Topic 3,0.005370191280868399
бұть_verb,275,Topic 3,0.005181763516627403
бір_noun,274,Topic 3,0.005162920740203302
бар_noun,273,Topic 3,0.005144077963779202
оть_noun,247,Topic 3,0.004654165776752612
хабарлайда_noun,221,Topic 3,0.004164253589726019
арасынд_noun,194,Topic 3,0.0036554986262753303
коронавирусқ_noun,194,Topic 3,0.0036554986262753303
ребенок_noun,15596,Topic 4,0.01893081904013418
врач_noun,16110,Topic 4,0.013359723912691784
больница_noun,12134,Topic 4,0.01153997285923175
год_noun,25677,Topic 4,0.009346441526783116
женщина_noun,5949,Topic 4,0.008832868973658063
девочка_noun,3903,Topic 4,0.007871420417894088
быть_verb,7681,Topic 4,0.005893985527730616
дело_noun,2653,Topic 4,0.005780236095605683
слово_noun,5306,Topic 4,0.005676751664516953
стать_verb,5798,Topic 4,0.00532616851970365
сообщить_verb,5639,Topic 4,0.0051657625005504795
смерть_noun,2508,Topic 4,0.005116442655311125
родитель_noun,2711,Topic 4,0.005045266447402706
область_noun,9646,Topic 4,0.004920754449414604
помощь_noun,12560,Topic 4,0.004831272083337358
мать_noun,2058,Topic 4,0.004730579824522616
говорить_verb,3413,Topic 4,0.004598335955327792
сказать_verb,3356,Topic 4,0.004468996612472292
семья_noun,2353,Topic 4,0.004416682443915836
время_noun,7122,Topic 4,0.0043824066414572685
случай_noun,9639,Topic 5,0.02288842494094305
год_noun,25677,Topic 5,0.018482450145674373
человек_noun,12725,Topic 5,0.01681862911261113
инфекция_noun,3645,Topic 5,0.014314956883663306
область_noun,9646,Topic 5,0.013774987690253144
заболевание_noun,7973,Topic 5,0.01094164214529192
ребенок_noun,15596,Topic 5,0.010457794639633668
вирус_noun,2239,Topic 5,0.008645136539132589
вакцинация_noun,1995,Topic 5,0.007484309817183322
страна_noun,5518,Topic 5,0.007060640457141421
выявить_verb,2646,Topic 5,0.006445376340141245
зарегистрировать_verb,1811,Topic 5,0.006166801415208185
число_noun,3215,Topic 5,0.005274789179808794
контроль_noun,2669,Topic 5,0.00496394016565375
коронавирус_noun,1834,Topic 5,0.00484198178456665
инфекционный_adj,1495,Topic 5,0.004765567650443918
здравоохранение_noun,10765,Topic 5,0.004582553506733832
вакцина_noun,1416,Topic 5,0.004515474440497628
данные_noun,3152,Topic 5,0.0043804954838501135
заражение_noun,1083,Topic 5,0.004338714907430737
год_noun,25677,Topic 6,0.0210072629108083
пациент_noun,12493,Topic 6,0.014213860630932955
медицинский_adj,17878,Topic 6,0.012760250348150155
центр_noun,8349,Topic 6,0.01199056581381309
врач_noun,16110,Topic 6,0.01166405430349768
помощь_noun,12560,Topic 6,0.008861224940549368
лечение_noun,8313,Topic 6,0.008218729689927652
заболевание_noun,7973,Topic 6,0.007988068650519802
жизнь_noun,6276,Topic 6,0.006775897077398092
специалист_noun,5216,Topic 6,0.0067005550355981715
страна_noun,5518,Topic 6,0.006055335641409674
человек_noun,12725,Topic 6,0.005897144633149901
здравоохранение_noun,10765,Topic 6,0.0054151491766383265
ребенок_noun,15596,Topic 6,0.004986136294436668
здоровье_noun,4718,Topic 6,0.0047890061207701146
развитие_noun,2760,Topic 6,0.0047219226579380555
работа_noun,5660,Topic 6,0.004668875641862835
рак_noun,2140,Topic 6,0.004651974903127921
операция_noun,9796,Topic 6,0.004361845391750514
новый_adj,4800,Topic 6,0.004357647265327941
медицинский_adj,17878,Topic 7,0.022317795908820003
год_noun,25677,Topic 7,0.016784651482730062
здравоохранение_noun,10765,Topic 7,0.012094926601941539
система_noun,5893,Topic 7,0.009495295317218681
услуга_noun,3753,Topic 7,0.008758920102616185
помощь_noun,12560,Topic 7,0.007128352081281897
средство_noun,3044,Topic 7,0.006406937361744707
препарат_noun,3600,Topic 7,0.005920684811477643
лекарство_noun,2836,Topic 7,0.005772833787419987
организация_noun,3084,Topic 7,0.005071118772382903
тенг_noun,2410,Topic 7,0.004709034386702396
социальный_adj,2703,Topic 7,0.004582340055909895
работа_noun,5660,Topic 7,0.004427677640954798
новый_adj,4800,Topic 7,0.0044256661824408445
миллиард_noun,1867,Topic 7,0.004411696244898385
миллион_noun,3143,Topic 7,0.004347655672317752
область_noun,9646,Topic 7,0.004328458969030757
вопрос_noun,3242,Topic 7,0.00398848816291249
лекарственный_adj,1635,Topic 7,0.0039025272760852855
гражданин_noun,2088,Topic 7,0.003681317214386717
