word,n,topic,beta
мочь_verb,10868,Topic 1,0.017551259178448658
человек_noun,12725,Topic 1,0.01165357662618069
быть_verb,7681,Topic 1,0.006782822856302171
организм_noun,2122,Topic 1,0.006256045601546746
заболевание_noun,7973,Topic 1,0.005494330106304667
продукт_noun,1820,Topic 1,0.005123117894429013
здоровье_noun,4718,Topic 1,0.004784267944218212
можно_verb,2992,Topic 1,0.0044266988790134
время_noun,7122,Topic 1,0.00431862653704385
врач_noun,16110,Topic 1,0.0036783528200964337
проблема_noun,2861,Topic 1,0.0034638544928347783
день_noun,6805,Topic 1,0.0034432471107804256
нужный_adj,2580,Topic 1,0.0034150284773915764
жизнь_noun,6276,Topic 1,0.0033355421556673904
другой_adj,4601,Topic 1,0.003253299936874109
вода_noun,1136,Topic 1,0.0030946252461657732
болезнь_noun,2900,Topic 1,0.003075570232810155
самый_adj,3747,Topic 1,0.003060164543979604
питание_noun,1179,Topic 1,0.0030289844687024395
риск_noun,1753,Topic 1,0.0028199007845657676
операция_noun,9796,Topic 2,0.020877965400625358
больница_noun,12134,Topic 2,0.016494114213306352
состояние_noun,7762,Topic 2,0.014341454476508237
врач_noun,16110,Topic 2,0.013186322017496074
ребенок_noun,15596,Topic 2,0.011485823563020216
пациент_noun,12493,Topic 2,0.011174876456314375
помощь_noun,12560,Topic 2,0.010055765824561564
провести_verb,5402,Topic 2,0.009721553418759285
отделение_noun,4551,Topic 2,0.008417152547314856
находиться_verb,4643,Topic 2,0.007011562362372115
жизнь_noun,6276,Topic 2,0.006318099835628717
травма_noun,2417,Topic 2,0.006200477732401122
областной_adj,4225,Topic 2,0.006116321168616722
реанимация_noun,2322,Topic 2,0.006019806677610443
рассказать_verb,5082,Topic 2,0.00567185075795125
детский_adj,4325,Topic 2,0.005639397211895931
сердце_noun,3053,Topic 2,0.005616480430666661
мозг_noun,2293,Topic 2,0.00491277956520028
сообщить_verb,5639,Topic 2,0.004895252164724275
лечение_noun,8313,Topic 2,0.0046892403150215305
ад_noun,633,Topic 3,0.011927477476455077
коронавирус_noun,1834,Topic 3,0.011783857904745827
бойынша_noun,518,Topic 3,0.00976055818768361
деп_noun,467,Topic 3,0.008799576590054533
мный_noun,404,Topic 3,0.007612481675336257
жатыр_noun,401,Topic 3,0.007555953346063956
жәна_noun,368,Topic 3,0.006934141724068669
қарс_noun,363,Topic 3,0.0068399278419481666
турал_noun,334,Topic 3,0.006293487325649282
ауыр_noun,312,Topic 3,0.005878946244319088
